id_paisano,desagregacion,pais_cod,encuesta,ano,flag,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2013,"Boys, mathematics",ARG,(T)ERCE,2013,"1,2",11.89664363861084,1,1,"Gender, mathematics",1,Argentina,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Girls, mathematics",ARG,(T)ERCE,2013,"1,2",1.096619367599487,2,2,"Gender, mathematics",1,Argentina,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Boys, language",ARG,(T)ERCE,2013,"1,2",.6069043278694153,3,3,"Gender, language",2,Argentina,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Girls, language",ARG,(T)ERCE,2013,"1,2",12.02377796173096,4,4,"Gender, language",2,Argentina,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Boys, science",ARG,(T)ERCE,2013,"1,2",1.302234053611755,5,5,"Gender, science",3,Argentina,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Girls, science",ARG,(T)ERCE,2013,"1,2",3.027460336685181,6,6,"Gender, science",3,Argentina,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Boys, mathematics",BRA,(T)ERCE,2013,"1,2",13.90201473236084,1,1,"Gender, mathematics",1,Brazil,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Girls, mathematics",BRA,(T)ERCE,2013,"1,2",4.32988452911377,2,2,"Gender, mathematics",1,Brazil,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Boys, language",BRA,(T)ERCE,2013,"1,2",2.171298027038574,3,3,"Gender, language",2,Brazil,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Girls, language",BRA,(T)ERCE,2013,"1,2",18.36598587036133,4,4,"Gender, language",2,Brazil,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Boys, science",BRA,(T)ERCE,2013,"1,2",0,5,5,"Gender, science",3,Brazil,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Girls, science",BRA,(T)ERCE,2013,"1,2",3.655133008956909,6,6,"Gender, science",3,Brazil,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Boys, mathematics",CHL,(T)ERCE,2013,"1,2",9.920265197753906,1,1,"Gender, mathematics",1,Chile,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Girls, mathematics",CHL,(T)ERCE,2013,"1,2",2.366675853729248,2,2,"Gender, mathematics",1,Chile,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Boys, language",CHL,(T)ERCE,2013,"1,2",1.881829977035523,3,3,"Gender, language",2,Chile,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Girls, language",CHL,(T)ERCE,2013,"1,2",21.90062522888184,4,4,"Gender, language",2,Chile,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Boys, science",CHL,(T)ERCE,2013,"1,2",4.737081527709961,5,5,"Gender, science",3,Chile,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Girls, science",CHL,(T)ERCE,2013,"1,2",1.011049509048462,6,6,"Gender, science",3,Chile,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Boys, mathematics",COL,(T)ERCE,2013,"1,2",12.17140102386475,1,1,"Gender, mathematics",1,Colombia,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Girls, mathematics",COL,(T)ERCE,2013,"1,2",2.190353155136108,2,2,"Gender, mathematics",1,Colombia,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Boys, language",COL,(T)ERCE,2013,"1,2",3.184156179428101,3,3,"Gender, language",2,Colombia,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Girls, language",COL,(T)ERCE,2013,"1,2",16.56694030761719,4,4,"Gender, language",2,Colombia,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Boys, science",COL,(T)ERCE,2013,"1,2",1.091124773025513,5,5,"Gender, science",3,Colombia,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Girls, science",COL,(T)ERCE,2013,"1,2",6.289668560028076,6,6,"Gender, science",3,Colombia,Sixth-grade teachers who think that:,"“Boys or girls learn faster math, language or science due to their innate characteristics”.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
